unit_code;cocunut;ctype_code;ctype_name;rating;default_flag;dqi
AVAL;1449056;3;Corporates;CORP_10;T;OK
AREALE;702036;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;471240;3;Corporates;CORP_10;T;OK
AVAL;302937;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;446925;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;157343;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;220494;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;194749;6;Small Medium Business (SMB);SME_10;T;OK
RLCZ;267346;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;222276;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;220594;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;162959;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;668742;3;Corporates;CORP_10;T;OK
ALEASS;702595;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;268028;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;125763;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;161834;3;Corporates;CORP_10;T;OK
RBILEG;184629;3;Corporates;CORPL_10;T;OK
RBRO;106994;3;Corporates;CORP_10;T;OK
AVAL;1499536;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;260742;3;Corporates;CORP_10;T;OK
AVAL;173016;3;Corporates;CORP_10;T;OK
RBRO;134252;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;609440;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;685948;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;538472;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;132575;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;522200;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;296589;3;Corporates;CORP_10;T;OK
RLRO;550577;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;196043;6;Small Medium Business (SMB);SME_10;T;OK
RLSI;609811;6;Small Medium Business (SMB);SME_10;T;OK
RLRS;135788;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;305057;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;178249;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;1215139;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;118557;3;Corporates;CORP_10;T;OK
AVAL;708186;3;Corporates;CORP_10;T;OK
RBRU;779971;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;192369;3;Corporates;CORP_10;T;OK
AVAL;450416;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;437449;3;Corporates;CORP_10;T;OK
AVAL;438236;3;Corporates;CORP_10;T;OK
AVAL;191631;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;1601614;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;343848;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;328643;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;1596678;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;209228;3;Corporates;CORP_10;T;OK
RLBH;555875;3;Corporates;CORP_10;T;OK
RBRO;684896;39;Associations;CORP_10;T;OK
AVAL;475355;3;Corporates;CORP_10;T;OK
RBRS;136014;6;Small Medium Business (SMB);SME_10;T;OK
RBSPK;1560548;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
RBRU;270584;3;Corporates;CORP_10;T;OK
AVAL;217831;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;321011;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;246181;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;178370;6;Small Medium Business (SMB);SME_10;T;OK
RLSI;106286;6;Small Medium Business (SMB);CORP_10;T;OK
ALEASS;702326;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;91883;3;Corporates;CORP_10;T;OK
RBAL;876804;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;151593;3;Corporates;CORP_10;T;OK
AVAL;315568;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;678359;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;138243;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;315478;6;Small Medium Business (SMB);SME_10;T;OK
TLSK;2036353;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;753956;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;1505288;6;Small Medium Business (SMB);SME_10;T;OK
TLSK;110384;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;507530;6;Small Medium Business (SMB);SME_10;T;OK
RLRO;798393;3;Corporates;CORP_10;T;OK
TBSK;206263;3;Corporates;CORP_10;T;OK
AVAL;178225;6;Small Medium Business (SMB);SME_10;T;OK
ALEASS;702524;3;Corporates;CORP_10;T;OK
TBSK;467057;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;177136;3;Corporates;CORP_10;T;OK
RBRS;136658;6;Small Medium Business (SMB);SME_10;T;OK
RLCZ;1219052;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;1328683;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;281706;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;138226;3;Corporates;CORP_10;T;OK
RBRU;314649;3;Corporates;CORP_10;T;OK
RBBH;128480;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;111342;3;Corporates;CORP_10;T;OK
AVAL;221727;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;737630;18;Specialised Lending Project (excl. Commodity);SLOT_RE_6.5;T;OK
RLUA;329370;6;Small Medium Business (SMB);SME_10;T;OK
RBBH;792308;6;Small Medium Business (SMB);SME_10;T;OK
RBAL;309851;3;Corporates;CORP_10;T;OK
RBHR;143053;3;Corporates;CORP_10;T;OK
TBSK;101876;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;280701;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;659593;3;Corporates;CORP_10;T;OK
AVAL;219110;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;442318;3;Corporates;CORP_10;T;OK
RBRO;1341567;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;151644;3;Corporates;CORP_10;T;OK
CASRS;533457;3;Corporates;CORP_10;T;OK
RBCZ;662633;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;449150;6;Small Medium Business (SMB);SME_10;T;OK
RBHU;116584;3;Corporates;CORP_10;T;OK
AVAL;219601;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;126019;3;Corporates;CORP_10;T;OK
RBHR;134213;3;Corporates;CORP_10;T;OK
RBRO;237907;3;Corporates;CORP_10;T;OK
AVAL;324353;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;92193;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;217169;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;176448;3;Corporates;CORP_10;T;OK
RBRO;522504;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;135667;3;Corporates;SLOT_RE_6.5;T;OK
RLAL;526597;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;151646;3;Corporates;CORP_10;T;OK
RBHU;111246;6;Small Medium Business (SMB);SME_10;T;OK
CASRS;180330;6;Small Medium Business (SMB);SME_10;T;OK
RBRU;312232;6;Small Medium Business (SMB);SME_10;T;OK
RLBH;215948;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;690726;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;292996;6;Small Medium Business (SMB);SME_10;T;OK
TLSK;1400115;3;Corporates;CORP_10;T;OK
RBBG;236319;3;Corporates;CORP_10;T;OK
RLUA;472732;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;522949;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;441893;6;Small Medium Business (SMB);SME_10;T;OK
TBSK;661131;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;1405390;3;Corporates;CORP_10;T;OK
RLSI;324459;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;322578;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;1516476;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;216870;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;205379;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;91957;6;Small Medium Business (SMB);SME_10;T;OK
RBBG;314928;6;Small Medium Business (SMB);SME_10;T;OK
AVAL;221515;6;Small Medium Business (SMB);SME_10;T;OK
RLBH;166459;3;Corporates;CORP_10;T;OK
RLRU;2053358;3;Corporates;CORP_10;T;OK
RBHU;111532;3;Corporates;CORP_10;T;OK
RBRU;182133;6;Small Medium Business (SMB);SME_10;T;OK
RAL;158067;3;Corporates;CORP_10;T;OK
AVAL;222555;6;Small Medium Business (SMB);SME_10;T;OK
RBHR;325437;4;Government-Owned Commercial Undertaking;CORP_10;T;OK
RBRO;124171;6;Small Medium Business (SMB);SME_10;T;OK
RBI;531671;3;Corporates;CORP_10;T;OK
AVAL;216825;6;Small Medium Business (SMB);SME_10;T;OK
AREALE;702258;6;Small Medium Business (SMB);SME_10;T;OK
RBRS;1207180;6;Small Medium Business (SMB);SME_10;T;OK
RBCZ;162927;6;Small Medium Business (SMB);SME_10;T;OK
RBRO;247099;6;Small Medium Business (SMB);SME_10;T;OK
